player,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Avg Raid Points_points,Avg Tackle Points_points,Super 10s_points,Super Raids_points,DOD Raid Points_points,High 5s_points,season,Played
Ajay Thakur,99.0,5.0,,5.0,127.0,122.0,8.13,0.33,5.0,2.0,8.0,,1,15.0
Amit Singh Chhillar,1.0,26.0,3.0,29.0,30.0,1.0,,2.07,,,,1.0,1,14.0
Anup Kumar,123.0,12.0,2.0,14.0,169.0,155.0,9.69,0.88,10.0,8.0,13.0,,1,16.0
Atif Waheed,,1.0,,1.0,1.0,,,0.33,,,,,1,3.0
Bajirao Hodage,,9.0,2.0,11.0,11.0,,,1.83,,,,,1,6.0
Balbir Singh,7.0,,,,9.0,9.0,1.13,,,,2.0,,1,8.0
Chandran Ranjit,4.0,,,,6.0,6.0,1.0,0.0,,,,,1,6.0
D. Gopu,4.0,20.0,3.0,23.0,27.0,4.0,0.5,1.53,,,,,1,15.0
D. Suresh Kumar,,24.0,4.0,28.0,28.0,,,2.33,,,,4.0,1,12.0
Dadaso Balaso Awad,,4.0,1.0,5.0,5.0,,,1.0,,,,,1,5.0
Deepak Hooda,72.0,2.0,,2.0,89.0,87.0,6.21,0.14,3.0,3.0,8.0,,1,14.0
Deepak Kumar Dahiya,15.0,2.0,,2.0,21.0,19.0,2.71,0.29,,,9.0,,1,7.0
Dharmaraj Cheralathan,8.0,34.0,5.0,39.0,52.0,13.0,1.08,2.44,,,3.0,2.0,1,16.0
Dong Ju Hong,1.0,,,,1.0,1.0,,,,,,,1,2.0
Dovlet Boshimov,3.0,,,,4.0,4.0,,,,,1.0,,1,2.0
Ehsan Zamani Fard,3.0,2.0,,2.0,6.0,4.0,0.5,0.25,,,,,1,8.0
Farhad Kamal Gharibi,,1.0,1.0,2.0,2.0,,,,,,,,1,2.0
Gangadhari Mallesh,10.0,3.0,,3.0,16.0,13.0,1.63,0.3,,,1.0,,1,10.0
Girish Maruti Ernak,2.0,22.0,1.0,23.0,25.0,2.0,0.33,1.92,,,,1.0,1,12.0
Gokul Shitole,,2.0,,2.0,2.0,,,0.67,,,,,1,3.0
Gurchet Singh,1.0,3.0,,3.0,4.0,1.0,0.25,0.75,,,,,1,4.0
Gurpreet Singh,1.0,24.0,1.0,25.0,27.0,2.0,,1.56,,,1.0,1.0,1,16.0
Gurvinder Singh,6.0,3.0,1.0,4.0,13.0,9.0,1.8,0.57,,,3.0,,1,7.0
Jang Kun Lee,39.0,2.0,,2.0,57.0,55.0,5.0,0.18,2.0,5.0,10.0,,1,11.0
Jasmer Singh Gulia,7.0,36.0,2.0,38.0,45.0,7.0,0.78,2.71,,,2.0,,1,14.0
Jasvir Singh,85.0,6.0,1.0,7.0,113.0,106.0,7.07,0.47,2.0,2.0,9.0,,1,15.0
Jeeva Gopal,,6.0,,6.0,6.0,,,0.55,,,,,1,11.0
Jeeva Kumar,,16.0,,16.0,16.0,,,1.78,,,,,1,9.0
Jitesh Joshi,31.0,11.0,2.0,13.0,53.0,40.0,2.86,0.93,,,10.0,2.0,1,14.0
Kalimuthu Balamahendran,8.0,14.0,6.0,20.0,32.0,12.0,1.0,1.43,,1.0,,,1,14.0
Kashiling Adake,93.0,8.0,1.0,9.0,122.0,113.0,8.07,0.64,5.0,3.0,18.0,,1,14.0
Kiran A,,,,,,,,0.0,,,,,1,4.0
Kuldeep Singh,,4.0,1.0,5.0,5.0,,,1.67,,,,,1,3.0
Mahendra Rajput,17.0,,,,21.0,21.0,2.63,,,,2.0,,1,8.0
