team,Played,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Average Raid Points_points,Average Tackle Points_points,Total Points Conceded_points,Super Raid_points,DOD Raid Points_points,All-outs Inflicted_points,All-outs Conceded_points,Avg Points Scored_points,season
   Bengal Warriors  ,14.0,213.0,106.0,16.0,122.0,430.0,283.0,20.21,8.71,515.0,11.0,30.0,11.0,25.0,28.92,1
   Bengaluru Bulls  ,16.0,225.0,153.0,10.0,163.0,498.0,291.0,18.19,10.19,479.0,7.0,40.0,20.0,15.0,28.37,1
   Dabang Delhi K.C.  ,14.0,246.0,124.0,10.0,134.0,456.0,285.0,20.36,9.57,471.0,5.0,31.0,18.0,23.0,29.92,1
   Jaipur Pink Panthers  ,16.0,270.0,158.0,12.0,170.0,579.0,344.0,21.5,10.63,458.0,9.0,50.0,29.0,15.0,32.12,1
   Patna Pirates  ,16.0,253.0,124.0,18.0,142.0,504.0,316.0,19.75,8.88,487.0,13.0,42.0,18.0,17.0,28.62,1
   Puneri Paltan  ,14.0,204.0,93.0,14.0,107.0,405.0,269.0,19.21,7.64,536.0,11.0,48.0,12.0,26.0,26.85,1
   Telugu Titans  ,14.0,272.0,96.0,8.0,104.0,497.0,336.0,24.0,7.43,474.0,8.0,31.0,25.0,14.0,31.42,1
   U Mumba  ,16.0,270.0,145.0,12.0,157.0,550.0,347.0,21.69,9.81,499.0,12.0,40.0,21.0,19.0,31.5,1
   Bengal Warriors  ,14.0,134.0,116.0,20.0,136.0,367.0,184.0,13.14,9.71,430.0,9.0,59.0,10.0,17.0,22.85,2
   Bengaluru Bulls  ,16.0,194.0,158.0,6.0,164.0,508.0,252.0,15.75,10.25,457.0,10.0,80.0,25.0,16.0,26.0,2
   Dabang Delhi K.C.  ,14.0,159.0,122.0,14.0,136.0,396.0,217.0,15.5,9.71,464.0,14.0,61.0,13.0,20.0,25.21,2
   Jaipur Pink Panthers  ,14.0,183.0,124.0,18.0,142.0,442.0,232.0,16.57,10.14,399.0,5.0,47.0,17.0,12.0,26.71,2
   Patna Pirates  ,16.0,182.0,152.0,12.0,164.0,444.0,228.0,14.25,10.25,489.0,4.0,60.0,13.0,21.0,24.5,2
   Puneri Paltan  ,14.0,170.0,104.0,10.0,114.0,391.0,223.0,15.93,8.14,465.0,8.0,56.0,12.0,21.0,24.07,2
   Telugu Titans  ,16.0,265.0,158.0,14.0,172.0,586.0,344.0,21.5,10.75,493.0,16.0,66.0,26.0,15.0,32.25,2
   U Mumba  ,16.0,187.0,180.0,16.0,196.0,489.0,237.0,14.81,12.25,426.0,7.0,81.0,20.0,14.0,27.06,2
   Bengal Warriors  ,16.0,213.0,137.0,13.0,150.0,460.0,250.0,15.63,9.38,449.0,4.0,70.0,17.0,18.0,25.0,3
   Bengaluru Bulls  ,14.0,158.0,94.0,6.0,100.0,362.0,209.0,14.93,7.14,467.0,9.0,69.0,12.0,21.0,22.07,3
   Dabang Delhi K.C.  ,14.0,171.0,98.0,13.0,111.0,384.0,233.0,16.64,7.93,525.0,5.0,54.0,9.0,28.0,24.57,3
   Jaipur Pink Panthers  ,14.0,149.0,101.0,16.0,117.0,364.0,193.0,13.79,8.36,427.0,8.0,59.0,11.0,22.0,22.14,3
   Patna Pirates  ,16.0,241.0,175.0,7.0,182.0,594.0,324.0,20.25,11.38,468.0,16.0,74.0,30.0,13.0,31.62,3
   Puneri Paltan  ,16.0,203.0,174.0,13.0,187.0,510.0,251.0,15.69,11.69,433.0,9.0,87.0,25.0,13.0,27.37,3
   Telugu Titans  ,14.0,206.0,101.0,15.0,116.0,427.0,254.0,18.14,8.29,437.0,3.0,44.0,13.0,17.0,26.42,3
   U Mumba  ,16.0,206.0,163.0,6.0,169.0,502.0,253.0,15.81,10.56,397.0,7.0,59.0,27.0,12.0,26.37,3
   Bengal Warriors  ,14.0,167.0,117.0,8.0,125.0,378.0,202.0,14.43,8.93,438.0,4.0,62.0,11.0,15.0,23.35,4
   Bengaluru Bulls  ,14.0,157.0,109.0,15.0,124.0,360.0,201.0,14.36,8.86,415.0,4.0,59.0,9.0,21.0,23.21,4
   Dabang Delhi K.C.  ,14.0,162.0,116.0,18.0,134.0,419.0,226.0,16.14,9.57,412.0,11.0,84.0,15.0,16.0,25.71,4
   Jaipur Pink Panthers  ,16.0,203.0,119.0,16.0,135.0,475.0,270.0,16.88,8.44,450.0,6.0,80.0,17.0,14.0,25.31,4
   Patna Pirates  ,16.0,206.0,145.0,26.0,171.0,492.0,264.0,16.5,10.69,466.0,7.0,73.0,19.0,12.0,27.18,4
   Puneri Paltan  ,16.0,230.0,140.0,6.0,146.0,515.0,290.0,18.13,9.13,491.0,10.0,77.0,21.0,17.0,27.25,4
   Telugu Titans  ,16.0,206.0,157.0,5.0,162.0,506.0,267.0,16.69,10.13,454.0,7.0,76.0,22.0,13.0,26.81,4
   U Mumba  ,14.0,188.0,110.0,11.0,121.0,399.0,227.0,16.21,8.64,418.0,4.0,42.0,15.0,21.0,24.85,4
   Bengal Warriors  ,24.0,379.0,181.0,12.0,193.0,749.0,455.0,18.96,8.04,757.0,11.0,87.0,27.0,29.0,27.0,5
   Bengaluru Bulls  ,22.0,336.0,185.0,17.0,200.0,689.0,393.0,17.86,9.09,679.0,5.0,93.0,28.0,25.0,26.95,5
   Dabang Delhi K.C.  ,22.0,283.0,159.0,12.0,169.0,598.0,344.0,15.64,7.68,731.0,6.0,94.0,18.0,35.0,23.31,5
